Preço;Tamanho;Quartos;Banheiros;Vagas;Bairro;Endereço
R$ 780.000;Tamanho do imóvel120 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Vila Paris;Avenida Artur Bernardes
R$ 1.080.000;Tamanho do imóvel102 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem2;Castelo;Rua Castelo de Abrantes
N/D;Tamanho do imóvel290 m²;Quantidade de quartos4;Quantidade de banheiros4;Quantidade de vagas de garagem3;Sion;Rua Washington
R$ 1.363.263;Tamanho do imóvel114 m²;Quantidade de quartos3;Quantidade de banheiros4;Quantidade de vagas de garagem2;Serra;Rua Barão de Lucena
R$ 992.911;Tamanho do imóvel62 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem2;Santo Agostinho;Rua Juiz de Fora
R$ 1.490.000;Tamanho do imóvel142 m²;Quantidade de quartos4;Quantidade de banheiros5;N/D;Buritis;Rua Delano Brochado Adjuto
R$ 485.000;Tamanho do imóvel29 m²;Quantidade de quartos1;Quantidade de banheiros1;N/D;Buritis;Rua Geraldo Lúcio Vasconcelos
N/D;Tamanho do imóvel140 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Grajaú;Rua Xapuri
R$ 2.312.000;Tamanho do imóvel140 m²;Quantidade de quartos4;Quantidade de banheiros4;Quantidade de vagas de garagem4;Serra;Rua Níquel
N/D;Tamanho do imóvel147 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Serra;Rua Pouso Alto
R$ 950.000;Tamanho do imóvel78 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Santo Antônio;Rua Cristina
R$ 848.000;Tamanho do imóvel100 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem3;São Lucas;Rua Nísio Batista de Oliveira
R$ 539.850;Tamanho do imóvel78 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Alto Caiçaras;Rua Pintagol
N/D;Tamanho do imóvel150 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem4;Castelo;Rua Castelo Moura
R$ 1.200.000;Tamanho do imóvel140 m²;Quantidade de quartos4;Quantidade de banheiros4;Quantidade de vagas de garagem4;Jaraguá;Rua Garumã
R$ 1.380.000;Tamanho do imóvel135 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem2;Castelo;Rua Castelo de Lisboa
R$ 600.000;Tamanho do imóvel114 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Graça;Rua Coromandel
R$ 640.000;Tamanho do imóvel118 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Alto Barroca;Rua Canaã
R$ 1.400.000;Tamanho do imóvel83 m²;Quantidade de quartos2;Quantidade de banheiros3;Quantidade de vagas de garagem2;Boa Viagem;Rua Sergipe
R$ 450.000;Tamanho do imóvel60 m²;Quantidade de quartos2;Quantidade de banheiros1;N/D;Floresta;Rua Salinas
R$ 1.300.000;Tamanho do imóvel120 m²;Quantidade de quartos4;Quantidade de banheiros1-6;Quantidade de vagas de garagem3;Santa Rosa;Rua Desembargador Viotti de Magalhães
R$ 1.470.000;Tamanho do imóvel126 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem3;Serra;Rua Capelinha
R$ 890.000;Tamanho do imóvel100 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Castelo;Rua Castelo de Alcobaça
R$ 530.000;Tamanho do imóvel92 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Serra;Rua Trifana
R$ 1.495.000;Tamanho do imóvel126 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem3;Serra;Rua Joanésia
R$ 1.235.000;Tamanho do imóvel60 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem2;Santo Agostinho;
R$ 1.395.045;Tamanho do imóvel77-85 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Lourdes;Rua Curitiba
R$ 1.350.000;Tamanho do imóvel88 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Gutierrez;Rua Martim Francisco
R$ 550.000;Tamanho do imóvel78 m²;Quantidade de quartos3;Quantidade de banheiros2;N/D;Santo Antônio;Rua Rafael Magalhães
N/D;Tamanho do imóvel127 m²;Quantidade de quartos2;Quantidade de banheiros3;Quantidade de vagas de garagem2;Santo Agostinho;Rua Juiz de Fora
R$ 620.000;Tamanho do imóvel82 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Indaiá;Rua Borges
R$ 750.000;Tamanho do imóvel110 m²;Quantidade de quartos4;Quantidade de banheiros4;Quantidade de vagas de garagem2;Palmares;
R$ 890.000;Tamanho do imóvel130 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem3;Grajaú;Rua Camapuan
R$ 1.048.450;Tamanho do imóvel70 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;Nova Granada;Avenida Silva Lobo
R$ 1.150.000;Tamanho do imóvel90 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Funcionários;Rua Pernambuco
R$ 650.000;Tamanho do imóvel85 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Calafate;Rua Turquesa
R$ 630.000;Tamanho do imóvel95 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Santo Antônio;Rua Conselheiro Quintiliano Silva
R$ 2.180.000;Tamanho do imóvel116 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Lourdes;
N/D;Tamanho do imóvel152 m²;Quantidade de quartos3;Quantidade de banheiros3-4;Quantidade de vagas de garagem3;Jaraguá;Rua Major Americano de Souza
R$ 2.830.000;Tamanho do imóvel130 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem4;Lourdes;Avenida do Contorno
R$ 895.000;Tamanho do imóvel64 m²;Quantidade de quartos2;Quantidade de banheiros3;Quantidade de vagas de garagem2;Santa Efigênia;Rua Juiz Costa Val
R$ 2.780.000;Tamanho do imóvel173 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem4;São Pedro;Rua Cristina
R$ 990.000;Tamanho do imóvel140 m²;Quantidade de quartos3;Quantidade de banheiros4;Quantidade de vagas de garagem2;Buritis;Rua José Hemetério Andrade
R$ 793.000;Tamanho do imóvel79 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Floresta;Rua Mucuri
R$ 1.250.479;Tamanho do imóvel95 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Lourdes;Rua dos Timbiras
N/D;Tamanho do imóvel500 m²;Quantidade de quartos4;Quantidade de banheiros6;Quantidade de vagas de garagem4;Serra;Rua Professor Estevão Pinto
N/D;Tamanho do imóvel134 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem3;Santo Antônio;Rua Carlos Gomes
N/D;Tamanho do imóvel76 m²;Quantidade de quartos2;Quantidade de banheiros1-2;Quantidade de vagas de garagem1;Buritis;Rua Eli Seabra Filho
R$ 740.000;Tamanho do imóvel150 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Palmares;Rua Professor Patrocínio Filho
R$ 830.000;Tamanho do imóvel174 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Fernão Dias;Avenida Joaquim José Diniz
R$ 980.000;Tamanho do imóvel204 m²;Quantidade de quartos4;Quantidade de banheiros1;Quantidade de vagas de garagem2;Grajaú;Rua General Andrade Neves
R$ 1.000.000;Tamanho do imóvel140 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem2;Santa Efigênia;Avenida Pasteur
R$ 1.369.000;Tamanho do imóvel80 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Anchieta;Rua Joaquim Linhares
R$ 1.150.000;Tamanho do imóvel57 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Savassi;Rua Professor Moraes
R$ 439.000;Tamanho do imóvel97 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem2;Rio Branco;Rua Diva
R$ 800.000;Tamanho do imóvel133 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Sagrada Família;Rua Barão de Cocais
R$ 620.000;Tamanho do imóvel110 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Gutierrez;Rua Américo Macedo
N/D;Tamanho do imóvel130 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem2;Santo Antônio;Rua Cristina
R$ 1.786.071;Tamanho do imóvel106 m²;Quantidade de quartos3;Quantidade de banheiros4;Quantidade de vagas de garagem2;Luxemburgo;Rua Guaicuí
R$ 2.900.000;Tamanho do imóvel139 m²;Quantidade de quartos4;Quantidade de banheiros4;Quantidade de vagas de garagem3;Sion;Rua Patagônia
R$ 1.697.360;Tamanho do imóvel86 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Santo Agostinho;Rua Araguari
N/D;Tamanho do imóvel253 m²;Quantidade de quartos3;Quantidade de banheiros1;Quantidade de vagas de garagem5;União;Rua José Gaspar de Araújo
R$ 811.070;Tamanho do imóvel61 m²;Quantidade de quartos2;Quantidade de banheiros3;Quantidade de vagas de garagem2;Anchieta;Rua Odilon Braga
R$ 1.397.000;Tamanho do imóvel120 m²;Quantidade de quartos3-4;Quantidade de banheiros1-4;Quantidade de vagas de garagem4;Castelo;Avenida Miguel Perrela
R$ 620.000;Tamanho do imóvel135 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem1;Santo Antônio;Rua Teixeira de Freitas
R$ 1.000.000;Tamanho do imóvel79 m²;Quantidade de quartos1;Quantidade de banheiros1;Quantidade de vagas de garagem3;Belvedere;Rodovia Stael Mary Bicalho Motta Magalhães
R$ 565.000;Tamanho do imóvel121 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Santa Efigênia;Avenida Mem de Sá
R$ 4.200.000;Tamanho do imóvel420 m²;Quantidade de quartos4;Quantidade de banheiros4;Quantidade de vagas de garagem3;Lourdes;Rua Alvarenga Peixoto
R$ 650.000;Tamanho do imóvel100 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;Santo Antônio;Rua Santo Antônio do Monte
R$ 579.000;Tamanho do imóvel100 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;Santa Mônica;Rua Dorival Machado
R$ 975.000;Tamanho do imóvel135 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem1;Santo Agostinho;Rua Araguari
R$ 980.000;Tamanho do imóvel95 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Buritis;Avenida Deputado Cristóvam Chiaradia
R$ 830.000;Tamanho do imóvel130 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem3;Buritis;Rua Josephino Aleixo
R$ 554.000;Tamanho do imóvel56 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;Palmares;Rua Joaquim Ribeiro Costa
R$ 596.776;Tamanho do imóvel46 m²;Quantidade de quartos1;Quantidade de banheiros1;Quantidade de vagas de garagem1;Barro Preto;Rua dos Timbiras
R$ 2.500.000;Tamanho do imóvel226 m²;Quantidade de quartos4;Quantidade de banheiros4;Quantidade de vagas de garagem4;Belvedere;Rua Juvenal Melo Senra
N/D;Tamanho do imóvel120 m²;Quantidade de quartos2;Quantidade de banheiros3;Quantidade de vagas de garagem1;Santo Antônio;Rua Paulo Afonso
R$ 860.000;Tamanho do imóvel90 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Cidade Nova;Rua Doutor Benjamim Moss
N/D;Tamanho do imóvel84 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Santo Agostinho;Rua Araguari
R$ 1.530.000;Tamanho do imóvel164 m²;Quantidade de quartos4;Quantidade de banheiros2-3;Quantidade de vagas de garagem3;Castelo;Rua Castelo de Alcobaça
R$ 1.600.000;Tamanho do imóvel97 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Comiteco;Rua Engenheiro Caetano Lopes
R$ 695.000;Tamanho do imóvel100 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;São Pedro;Rua Equador
R$ 335.000;Tamanho do imóvel48 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Araguaia;Rua Nascimento
R$ 1.250.000;Tamanho do imóvel115 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Serra;Rua Níquel
R$ 1.550.000;Tamanho do imóvel85 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Santo Agostinho;Rua Alvarenga Peixoto
R$ 660.000;Tamanho do imóvel92 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Fernão Dias;Rua Queluzita
R$ 1.200.000;Tamanho do imóvel102-103 m²;Quantidade de quartos3;Quantidade de banheiros2-3;Quantidade de vagas de garagem2;Serra;Rua Palmira
N/D;Tamanho do imóvel122 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Ouro Preto;Rua Professor Domício Murta
R$ 595.000;Tamanho do imóvel80 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Castelo;Rua Cantor Luiz Gonzaga
R$ 1.260.000;Tamanho do imóvel84 m²;Quantidade de quartos2;Quantidade de banheiros3;Quantidade de vagas de garagem2;Santa Lúcia;Rua Argus
R$ 570.000;Tamanho do imóvel102-105 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;São Gabriel;Rua Conceição do Canindé
R$ 1.515.000;Tamanho do imóvel220 m²;Quantidade de quartos4;Quantidade de banheiros4;Quantidade de vagas de garagem4;Gutierrez;Rua Américo Luz
R$ 720.000;Tamanho do imóvel50 m²;Quantidade de quartos1;Quantidade de banheiros2;Quantidade de vagas de garagem2;Carmo;Rua Orenoco
R$ 450.000;Tamanho do imóvel35 m²;Quantidade de quartos1;Quantidade de banheiros2;Quantidade de vagas de garagem1;Estoril;Rua Senador Lima Guimarães
R$ 1.061.000;Tamanho do imóvel137 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Serrano;Rua Sylvio Andrade
R$ 530.000;Tamanho do imóvel86 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Esplanada;Rua Belém
R$ 3.980.000;Tamanho do imóvel244-248 m²;Quantidade de quartos4;Quantidade de banheiros2-4;Quantidade de vagas de garagem3;Anchieta;Rua Laranjal
R$ 862.415;Tamanho do imóvel62 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Cidade Nova;
R$ 1.940.000;Tamanho do imóvel136 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem3;Cruzeiro;Rua Alfenas
R$ 980.000;Tamanho do imóvel106 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Santa Inês;Rua Natércia
R$ 1.450.000;Tamanho do imóvel150 m²;Quantidade de quartos2;Quantidade de banheiros3;Quantidade de vagas de garagem1;Lourdes;Rua Felipe dos Santos
R$ 730.000;Tamanho do imóvel90 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Santa Efigênia;Rua Tenente Garro
N/D;Tamanho do imóvel133 m²;Quantidade de quartos4;Quantidade de banheiros2-3;Quantidade de vagas de garagem3;Jaraguá;Rua Pedro Dutra
R$ 980.000;Tamanho do imóvel126 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem2;São Pedro;Rua Equador
R$ 795.000;Tamanho do imóvel115 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Buritis;Rua José Hemetério Andrade
R$ 1.050.000;Tamanho do imóvel89 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Prado;Rua Nepomuceno
N/D;Tamanho do imóvel165 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem3;Fernão Dias;Rua Doutor Michel Bedran
R$ 2.270.000;Tamanho do imóvel137 m²;Quantidade de quartos4;Quantidade de banheiros5;Quantidade de vagas de garagem3;Gutierrez;Rua Almirante Alexandrino
R$ 409.000;Tamanho do imóvel50 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Nova Suíssa;Rua Tobias Barreto
R$ 1.100.000;Tamanho do imóvel58 m²;Quantidade de quartos2;Quantidade de banheiros1-3;Quantidade de vagas de garagem2;Savassi;Rua dos Inconfidentes
R$ 850.000;Tamanho do imóvel173 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Padre Eustáquio;Rua Vila Rica
R$ 1.650.000;Tamanho do imóvel78 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Lourdes;Rua Alvarenga Peixoto
N/D;Tamanho do imóvel60 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Santa Branca;Rua Campista
R$ 650.000;Tamanho do imóvel84 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Castelo;Rua Desembargador José Satyro
R$ 680.000;Tamanho do imóvel39 m²;Quantidade de quartos1;Quantidade de banheiros1;Quantidade de vagas de garagem1;Santa Efigênia;Avenida do Contorno
N/D;Tamanho do imóvel139 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem2;Santo Antônio;Rua São João Evangelista
R$ 2.020.000;Tamanho do imóvel91 m²;Quantidade de quartos3;Quantidade de banheiros2-3;Quantidade de vagas de garagem2;Lourdes;Rua Gonçalves Dias
R$ 1.780.000;Tamanho do imóvel112 m²;Quantidade de quartos2;Quantidade de banheiros3;Quantidade de vagas de garagem2;Santa Lúcia;Rua Argus
R$ 800.000;Tamanho do imóvel148 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Dona Clara;Rua Doutor João Miranda
R$ 4.260.000;Tamanho do imóvel251 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem4;Cruzeiro;Rua Alfenas
R$ 630.000;Tamanho do imóvel120 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem1;Santo Antônio;Rua Deputado Álvaro Sales
R$ 750.000;Tamanho do imóvel96-97 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem2;Santa Rosa;Rua Líbero Badaró
R$ 1.300.000;Tamanho do imóvel200 m²;Quantidade de quartos4;Quantidade de banheiros2-4;Quantidade de vagas de garagem3;Santo Antônio;Rua Coletor Celso Werneck
R$ 1.400.000;Tamanho do imóvel105 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Lourdes;Avenida Olegário Maciel
R$ 756.000;Tamanho do imóvel77 m²;Quantidade de quartos3;Quantidade de banheiros1;Quantidade de vagas de garagem1;Ouro Preto;Rua Sena Madureira
A partir de R$ 1.600.000;Tamanho do imóvel73 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Savassi;Rua Tomé de Souza
R$ 1.499.000;Tamanho do imóvel155 m²;Quantidade de quartos4;Quantidade de banheiros4;Quantidade de vagas de garagem2;Serra;Rua Joanésia
R$ 920.000;Tamanho do imóvel140 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;União;
N/D;Tamanho do imóvel272 m²;Quantidade de quartos3;Quantidade de banheiros4;Quantidade de vagas de garagem3;Liberdade;Rua Doutor Teles
R$ 1.770.000;Tamanho do imóvel94 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Cruzeiro;Rua Outono
R$ 1.522.289;Tamanho do imóvel89 m²;Quantidade de quartos2;Quantidade de banheiros3;Quantidade de vagas de garagem2;Santo Agostinho;Rua Alvarenga Peixoto
R$ 2.306.751;Tamanho do imóvel144 m²;Quantidade de quartos4;Quantidade de banheiros5;Quantidade de vagas de garagem2;Coração de Jesus;Rua Guaicuí
R$ 1.980.000;Tamanho do imóvel127 m²;Quantidade de quartos3;Quantidade de banheiros3;N/D;Gutierrez;Rua Almirante Alexandrino
R$ 1.200.000;Tamanho do imóvel222 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem2;Sion;Rua La Plata
R$ 730.000;Tamanho do imóvel118 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem3;Indaiá;Rua Borges
R$ 850.000;Tamanho do imóvel56 m²;Quantidade de quartos2;Quantidade de banheiros3;Quantidade de vagas de garagem2;Serra;Rua Professor Estevão Pinto
R$ 425.000;Tamanho do imóvel93 m²;Quantidade de quartos3;Quantidade de banheiros1;N/D;Santo Agostinho;Rua Ouro Preto
R$ 1.452.000;Tamanho do imóvel103 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Cidade Jardim;Rua Teixeira Mendes
R$ 1.690.000;Tamanho do imóvel170 m²;Quantidade de quartos4;Quantidade de banheiros5;Quantidade de vagas de garagem3;Liberdade;Rua Intendente Câmara
R$ 1.750.000;Tamanho do imóvel90 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Sion;Rua Washington
R$ 790.000;Tamanho do imóvel158 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem1;Sion;Rua Grão Mogol
R$ 450.000;Tamanho do imóvel90 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Estoril;Rua Paulo Piedade Campos
N/D;Tamanho do imóvel118 m²;Quantidade de quartos2;Quantidade de banheiros3;Quantidade de vagas de garagem1;Savassi;Rua Sergipe
R$ 1.200.000;Tamanho do imóvel100 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Gutierrez;Rua Oscar Trompowsky
R$ 600.000;Tamanho do imóvel90 m²;Quantidade de quartos3;Quantidade de banheiros1;Quantidade de vagas de garagem1;Floresta;Rua Monte Alverne
R$ 640.000;Tamanho do imóvel96 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem3;Castelo;Rua Romualdo Lopes Cançado
N/D;Tamanho do imóvel98-120 m²;Quantidade de quartos2;Quantidade de banheiros1-2;Quantidade de vagas de garagem2;Alto Barroca;Rua Armindo Chaves
R$ 1.650.000;Tamanho do imóvel124 m²;Quantidade de quartos3;Quantidade de banheiros1;Quantidade de vagas de garagem2;Funcionários;Avenida Carandaí
N/D;Tamanho do imóvel132 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem2;Lourdes;Rua Alvarenga Peixoto
R$ 926.684;Tamanho do imóvel46 m²;Quantidade de quartos1;Quantidade de banheiros1;Quantidade de vagas de garagem1;Lourdes;Rua Alvarenga Peixoto
R$ 580.000;Tamanho do imóvel132 m²;Quantidade de quartos4;Quantidade de banheiros2;N/D;Barro Preto;Avenida Augusto de Lima
R$ 1.595.000;Tamanho do imóvel151 m²;Quantidade de quartos4;Quantidade de banheiros1;Quantidade de vagas de garagem3;Liberdade;Rua Aureliano Lessa
R$ 780.169;Tamanho do imóvel41 m²;Quantidade de quartos1;Quantidade de banheiros1;Quantidade de vagas de garagem1;Lourdes;Rua Alvarenga Peixoto
R$ 1.444.085;Tamanho do imóvel84 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Boa Viagem;Rua dos Aimorés
R$ 700.000;Tamanho do imóvel132 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem1;Sion;Rua Santa Maria Itabira
R$ 1.700.000;Tamanho do imóvel260 m²;Quantidade de quartos4;Quantidade de banheiros4;Quantidade de vagas de garagem4;Luxemburgo;Rua Doutor Helvécio Arantes
R$ 820.000;Tamanho do imóvel118 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem1;Colégio Batista;Rua Ubá
R$ 1.600.000;Tamanho do imóvel125 m²;Quantidade de quartos2;Quantidade de banheiros3;Quantidade de vagas de garagem2;Cruzeiro;Rua Bráz Cubas
R$ 945.000;Tamanho do imóvel90 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Cidade Nova;Rua Professor Costa Chiabi
R$ 590.000;Tamanho do imóvel130-133 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem1;Sion;Rua do Uruguai
R$ 3.290.000;Tamanho do imóvel192 m²;Quantidade de quartos4;Quantidade de banheiros4;Quantidade de vagas de garagem4;Lourdes;Rua Rio de Janeiro
R$ 1.200.000;Tamanho do imóvel113 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem3;Ipiranga;Rua Conde de Monte Cristo
R$ 750.000;Tamanho do imóvel77 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Nova Floresta;Rua São Gonçalo
R$ 1.700.000;Tamanho do imóvel220 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem3;Prado;Rua Chapecó
N/D;Tamanho do imóvel134 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Castelo;Avenida Altamiro Avelino Soares
R$ 7.500.000;Tamanho do imóvel265-291 m²;Quantidade de quartos4;Quantidade de banheiros6;Quantidade de vagas de garagem3;Lourdes;Rua Espírito Santo
R$ 750.000;Tamanho do imóvel140 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem2;Santo Antônio;Rua Matipó
N/D;Tamanho do imóvel120 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem2;Candelária;
R$ 1.881.000;Tamanho do imóvel151 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem4;Ouro Preto;Rua José Moura Peçanha
R$ 1.300.000;Tamanho do imóvel150 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem2;Sion;Rua Nicarágua
R$ 3.250.000;Tamanho do imóvel172 m²;Quantidade de quartos4;Quantidade de banheiros3-4;Quantidade de vagas de garagem4;Santo Antônio;Rua São Domingos do Prata
N/D;Tamanho do imóvel96 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Santo Antônio;Rua Cristina
R$ 2.060.000;Tamanho do imóvel130 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem3;Funcionários;Rua Cláudio Manoel
R$ 1.150.000;Tamanho do imóvel57 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Savassi;Rua Professor Moraes
R$ 960.000;Tamanho do imóvel90 m²;Quantidade de quartos3;Quantidade de banheiros1;Quantidade de vagas de garagem2;Ouro Preto;Rua José Moura Peçanha
R$ 1.208.000;Tamanho do imóvel65 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Lourdes;Rua Curitiba
